id;curp;first_name;last_name;email;phone_number
1;Steel infrastructures;Vernie;Pfannerstill;Jarrod_McClure@hotmail.com;action-items
2;Rupee African;Roman;Altenwerth;Lisandro.Effertz@gmail.com;Account
3;coherent Handmade Account;Julius;Torphy;Aglae_Mante42@gmail.com;Borders Computer
4;Louisiana Organic;Laverna;Kuhn;Jordane.Heidenreich26@hotmail.com;Avon Pants
5;Card Plastic digital;Giovani;Schultz;Carolanne_Corkery@hotmail.com;back-end
6;Small maroon;Austen;Stamm;Nya.Dare@hotmail.com;Global optimizing
7;Movies;Jaiden;Kovacek;Sydnee_Feil42@gmail.com;HTTP
8;technologies human-resource Plastic;Lorena;Ondricka;Izabella_Farrell@gmail.com;contingency
9;Track Dynamic;Melody;Grant;Adela72@hotmail.com;Garden
10;firmware;Mariam;Streich;Giovani_Nolan59@yahoo.com;District impactful
